course_id,course_name,credits,theoretical_credits,practical_credits,stage,optional_11,optional_28,compulsory_for_specific_11,course_group
MTH10512,Thống kê kinh tế,3,2,1,3,TC,NO,NO,
MTH10513,Xử lý số liệu thống kê,3,2,1,3,TC,TC,110309,XS-TK
MTH10514,Thống kê Bayes,4,4,0,3,TC,NO,NO,XS-TK
MTH10515,Thống kê phi tham số,4,4,0,3,TC,NO,NO,XS-TK
MTH10519,Xác suất cho bảo hiểm,4,4,0,3,TC,NO,NO,XS-TK
MTH10517,Lý thuyết và phương pháp chọn mẫu,4,3,1,3,TC,NO,NO,
MTH10518,Giải tích hàm trong thống kê,4,4,0,3,TC,NO,NO,
MTH10520,Seminar cơ học,4,4,0,3,TC,NO,NO,
MTH10521,Phương pháp sai phân hữu hạn,2,2,0,3,TC,NO,NO,
MTH10524,Động lực học hệ nhiều vật & Robotics,4,3,1,3,TC,NO,NO,
MTH10526,Dao động ngẫu nhiên,4,4,0,3,TC,NO,NO,
MTH10527,Khí động lực học,4,4,0,3,TC,NO,NO,
MTH10532,Seminar Giải tích số,4,4,0,3,TC,NO,NO,
MTH10533,Giải tích số 2,4,4,0,3,TC,NO,NO,Toán
MTH10535,Các phương pháp phân chia miền,4,4,0,3,TC,NO,NO,
MTH10537,Tính toán mô phỏng cho các bài toán phương trình đạo hàm riêng với Julia,2,0,2,3,TC,NO,NO,
MTH10538,Tối ưu hóa ứng dụng,4,4,0,3,TC,NO,NO,
MTH10539,Quy hoạch tuyến tính nâng cao,4,4,0,3,TC,NO,NO,
MTH10540,Lý thuyết và thuật toán tối ưu không trơn,4,4,0,3,TC,NO,NO,
MTH10541,Lý thuyết trò chơi,4,4,0,3,TC,NO,NO,
MTH10543,Cơ sở giải tích lồi và quy hoạch lồi,4,4,0,3,TC,NO,NO,
MTH10544,Điều kiện tối ưu không trơn,4,4,0,3,TC,NO,NO,
MTH10545,Điều khiển tối ưu,4,4,0,3,TC,NO,NO,
MTH10549,Thực tập đồ án thực tế,4,4,0,3,TC,NO,NO,
MTH10552,Phương pháp thể tích hữu hạn cho phương trình đạo hàm riêng của chuyển động chất lỏng,4,4,0,3,TC,NO,NO,
MTH10553,Tối ưu đa mục tiêu,4,4,0,3,TC,NO,NO,
MTH10595,Khóa luận tốt nghiệp,10,10,0,3,TC,TC,NO,
MTH10596,Lý thuyết nhóm,4,4,0,3,TC,NO,NO,
MTH10597,Đồ án tốt nghiệp,6,0,6,3,TC,TC,NO,
MTH10601,Lược sử tư duy Số và Đại số,3,3,0,3,TC,NO,NO,
MTH10602,Nhập môn lý thuyết vành chia,4,4,0,3,TC,NO,NO,
MTH10603,Nhập môn đại số nhóm,4,4,0,3,TC,NO,NO,
MTH10604,Phương pháp số trong tối ưu,4,3,1,3,TC,NO,NO,
MTH10606,Xử lý dữ liệu lớn,4,3,1,3,TC,TC,NO,
MTH10607,Phương pháp số cho Khoa học dữ liệu,4,3,1,3,TC,TC,NO,Thuật toán
MTH10609,Kiểm định phi tham số,4,3,1,3,TC,NO,NO,
MTH10610,Giải tích sai phân hữu hạn,4,3,1,3,TC,NO,NO,Toán
MTH10612,Nhập môn cơ học,2,2,0,3,TC,NO,NO,
MTH10613,Cơ học phá hủy,3,3,0,3,TC,NO,NO,
MTH10614,Phương pháp biến phân trong tối ưu,4,4,0,3,TC,NO,NO,
MTH10615,Mô hình tối ưu trong kinh tế ,3,2,1,3,TC,NO,NO,Thuật toán
MTH10616,Seminar Tối ưu,4,4,0,3,TC,TC,NO,
MTH10617,Tổng quan toán - tin học và các chuyên ngành,2,2,0,3,TC,NO,NO,
MTH10619,Thống kê nhiều chiều,4,3,1,3,TC,TC,110208,XS-TK
MTH10621,Mô hình thống kê tuyến tính nâng cao,4,3,1,3,TC,NO,NO,
MTH10622,Học sâu cho Khoa học dữ liệu,4,3,1,3,TC,TC,NO,Thuật toán
MTH10624,Phân tích mạng xã hội,4,3,1,3,TC,TC,NO,Thuật toán
MTH10625,Tính toán tài chính,4,3,1,3,TC,TC,NO,Toán
MTH10605,Python cho khoa học dữ liệu,4,3,1,3,TC,BB,110309,Lập trình
MTH10608,Trực quan hóa dữ liệu,3,3,1,3,TC,TC,NO,Lập trình
MTH10611,Lập trình Symbolic cho các bài toán ứng dụng,4,4,0,3,TC,NO,NO,Lập trình
MTH10620,Seminar Khoa học dữ liệu,4,4,0,3,TC,TC,NO,Lập trình
MTH10623,Hệ thống tư vấn,4,3,1,3,TC,TC,NO,Lập trình
MTH10626,Kỹ năng mềm,3,2,1,3,NO,TC,NO,Kỹ năng mềm
MTH10627,Khởi nghiệp,3,2,1,3,NO,TC,NO,Kỹ năng mềm
